hardclip_k_dbfs	hardclip_sse	under_k_dbfs	under_sse
-56.5405691964	41.7052559347	-56.5405691964	0.0700513606664
-56.4871651786	41.677604339	-56.4871651786	0.070647867672
-56.4337611607	41.6502708437	-56.4337611607	0.0712528584046
-56.3803571429	41.6232539985	-56.3803571429	0.0718660380638
-56.326953125	41.5965522731	-56.326953125	0.0724871169826
-56.2735491071	41.5701640607	-56.2735491071	0.0731158106307
-56.2201450893	41.544087682	-56.2201450893	0.0737518396135
-56.1667410714	41.5183213884	-56.1667410714	0.0743949296654
-56.1133370536	41.4928633659	-56.1133370536	0.0750448116397
-56.0599330357	41.4677117384	-56.0599330357	0.0757012214932
-56.0065290179	41.4428645706	-56.0065290179	0.0763639002675
-55.953125	41.418319872	-55.953125	0.0770325940662
-55.8997209821	41.3940755995	-55.8997209821	0.0777070540285
-55.8463169643	41.3701296607	-55.8463169643	0.0783870362996
-55.7929129464	41.3464799166	-55.7929129464	0.0790723019974
-55.7395089286	41.3231241851	-55.7395089286	0.0797626171771
-55.6861049107	41.3000602431	-55.6861049107	0.0804577527921
-55.6327008929	41.2772858297	-55.6327008929	0.0811574846528
-55.579296875	41.2547986487	-55.579296875	0.0818615933829
-55.5258928571	41.2325963713	-55.5258928571	0.0825698643731
-55.4724888393	41.2106766382	-55.4724888393	0.0832820877337
-55.4190848214	41.1890370625	-55.4190848214	0.0839980582437
-55.3656808036	41.1676752317	-55.3656808036	0.0847175752997
-55.3122767857	41.1465887099	-55.3122767857	0.0854404428618
-55.2588727679	41.1257750403	-55.2588727679	0.0861664693993
-55.20546875	41.105231747	-55.20546875	0.0868954678341
-55.1520647321	41.0849563372	-55.1520647321	0.0876272554831
-55.0986607143	41.0649463029	-55.0986607143	0.0883616539999
-55.0452566964	41.0372857179	-55.0452566964	0.0889922358471
-54.9918526786	41.0073820759	-54.9918526786	0.0895953906998
-54.9384486607	40.9777710694	-54.9384486607	0.0902055015974
-54.8850446429	40.9484522094	-54.8850446429	0.0908223551763
-54.831640625	40.9194249291	-54.831640625	0.0914457409026
-54.7782366071	40.8906885861	-54.7782366071	0.0920754510977
-54.7248325893	40.862242465	-54.7248325893	0.0927112809612
-54.6714285714	40.8340857801	-54.6714285714	0.09335302859
-54.6180245536	40.8062176773	-54.6180245536	0.0940004949956
-54.5646205357	40.7786372369	-54.5646205357	0.0946534841176
-54.5112165179	40.751343476	-54.5112165179	0.0953118028356
-54.4578125	40.7243353504	-54.4578125	0.0959752609776
-54.4044084821	40.6976117573	-54.4044084821	0.0966436713268
-54.3510044643	40.6711715375	-54.3510044643	0.0973168496252
-54.2976004464	40.6450134773	-54.2976004464	0.0979946145755
-54.2441964286	40.6191363111	-54.2441964286	0.0986767878412
-54.1907924107	40.593538723	-54.1907924107	0.099363194043
-54.1373883929	40.5682193496	-54.1373883929	0.100053660755
-54.083984375	40.5431767813	-54.083984375	0.100748018499
-54.0305803571	40.5184095651	-54.0305803571	0.101446100735
-53.9771763393	40.4939162056	-53.9771763393	0.10214774385
-53.9237723214	40.4696951679	-53.9237723214	0.102852787151
-53.8703683036	40.4457448789	-53.8703683036	0.103561072845
-53.8169642857	40.4220637293	-53.8169642857	0.104272446032
-53.7635602679	40.3986500755	-53.7635602679	0.104986754682
-53.71015625	40.3755022411	-53.71015625	0.10570384962
-53.6567522321	40.352618519	-53.6567522321	0.106423584508
-53.6033482143	40.3299971728	-53.6033482143	0.107145815826
-53.5499441964	40.3076364385	-53.5499441964	0.107870402846
-53.4965401786	40.2855345262	-53.4965401786	0.108597207614
-53.4431361607	40.2636896214	-53.4431361607	0.109326094927
-53.3897321429	40.2347567777	-53.3897321429	0.109964088659
-53.336328125	40.2033373857	-53.336328125	0.110572346206
-53.2829241071	40.1721872377	-53.2829241071	0.111186047001
-53.2295200893	40.1413063964	-53.2295200893	0.111805038547
-53.1761160714	40.1106948574	-53.1761160714	0.112429169902
-53.1227120536	40.0803525503	-53.1227120536	0.113058291711
-53.0693080357	40.0502793403	-53.0693080357	0.113692256221
-53.0159040179	40.0204750301	-53.0159040179	0.114330917312
-52.9625	39.9909393609	-52.9625	0.114974130509
-52.9090959821	39.9616720145	-52.9090959821	0.115621753008
-52.8556919643	39.9326726147	-52.8556919643	0.116273643686
-52.8022879464	39.9039407285	-52.8022879464	0.116929663123
-52.7488839286	39.8754758683	-52.7488839286	0.117589673612
-52.6954799107	39.8472774927	-52.6954799107	0.118253539171
-52.6420758929	39.8193450085	-52.6420758929	0.118921125561
-52.588671875	39.7916777719	-52.588671875	0.119592300286
-52.5352678571	39.7642750902	-52.5352678571	0.120266932612
-52.4818638393	39.7371362232	-52.4818638393	0.120944893566
-52.4284598214	39.7102603844	-52.4284598214	0.121626055948
-52.3750558036	39.683646743	-52.3750558036	0.122310294332
-52.3216517857	39.6572944246	-52.3216517857	0.122997485073
-52.2682477679	39.6312025131	-52.2682477679	0.123687506307
-52.21484375	39.605370052	-52.21484375	0.124380237956
-52.1614397321	39.5797960457	-52.1614397321	0.125075561724
-52.1080357143	39.5544794605	-52.1080357143	0.125773361102
-52.0546316964	39.5294192268	-52.0546316964	0.126473521361
-52.0012276786	39.5046142395	-52.0012276786	0.127175929556
-51.9478236607	39.4800633598	-51.9478236607	0.127880474515
-51.8944196429	39.4557654162	-51.8944196429	0.128587046843
-51.841015625	39.4317192059	-51.841015625	0.12929553891
-51.7876116071	39.407923496	-51.7876116071	0.130005844852
-51.7342075893	39.3775000317	-51.7342075893	0.130634275319
-51.6808035714	39.3443358827	-51.6808035714	0.13123050538
-51.6273995536	39.3114216814	-51.6273995536	0.131831216933
-51.5739955357	39.2787579542	-51.5739955357	0.132436297637
-51.5205915179	39.2463451684	-51.5205915179	0.133045635959
-51.4671875	39.2141837334	-51.4671875	0.133659121203
-51.4137834821	39.1822740014	-51.4137834821	0.134276643531
-51.3603794643	39.1506162686	-51.3603794643	0.134898093978
-51.3069754464	39.1192107759	-51.3069754464	0.135523364479
-51.2535714286	39.0880577101	-51.2535714286	0.136152347881
-51.2001674107	39.0571572051	-51.2001674107	0.136784937967
-51.1467633929	39.0265093424	-51.1467633929	0.137421029467
-51.093359375	38.9961141523	-51.093359375	0.138060518077
-51.0399553571	38.965971615	-51.0399553571	0.138703300476
-50.9865513393	38.9360816617	-50.9865513393	0.139349274337
-50.9331473214	38.9064441751	-50.9331473214	0.13999833834
-50.8797433036	38.8770589911	-50.8797433036	0.14065039219
-50.8263392857	38.847925899	-50.8263392857	0.141305336623
-50.7729352679	38.8190446433	-50.7729352679	0.141963073419
-50.71953125	38.7904149242	-50.71953125	0.142623505415
-50.6661272321	38.7620363985	-50.6661272321	0.143286536512
-50.6127232143	38.733908681	-50.6127232143	0.143952071681
-50.5593191964	38.7060313453	-50.5593191964	0.14462001698
