t_ms	level_dbfs
228.75	-40.1714285714
228.833333333	-40.1714285714
228.916666667	-40.1714285714
229	-40.1714285714
229.083333333	-40.1714285714
229.166666667	-40.1714285714
229.25	-40.1714285714
229.333333333	-40.1714285714
229.416666667	-40.1714285714
229.5	-40.1714285714
229.583333333	-40.1714285714
229.666666667	-40.1714285714
229.75	-40.1714285714
229.833333333	-40.1714285714
229.916666667	-40.1714285714
230	-40.1714285714
230.083333333	-40.1714285714
230.166666667	-40.1714285714
230.25	-40.1714285714
230.333333333	-40.1714285714
230.416666667	-40.1714285714
230.5	-40.1714285714
230.583333333	-40.1714285714
230.666666667	-40.1714285714
230.75	-40.1714285714
230.833333333	-40.1714285714
230.916666667	-40.1714285714
231	-40.1714285714
231.083333333	-40.1714285714
231.166666667	-40.1714285714
231.25	-40.1714285714
231.333333333	-40.1714285714
231.416666667	-40.1714285714
231.5	-40.1714285714
231.583333333	-40.1714285714
231.666666667	-40.1714285714
231.75	-40.1714285714
231.833333333	-40.1714285714
231.916666667	-40.1714285714
232	-40.1714285714
232.083333333	-40.1714285714
232.166666667	-40.1714285714
232.25	-40.1714285714
232.333333333	-40.1714285714
232.416666667	-40.1714285714
232.5	-40.1714285714
232.583333333	-40.1714285714
232.666666667	-40.1714285714
232.75	-40.1714285714
232.833333333	-40.1714285714
232.916666667	-40.1714285714
233	-40.1714285714
233.083333333	-40.1714285714
233.166666667	-40.1714285714
233.25	-40.1714285714
233.333333333	-40.1714285714
233.416666667	-40.1714285714
233.5	-40.1714285714
233.583333333	-40.1714285714
233.666666667	-40.1714285714
233.75	-40.1714285714
233.833333333	-40.1714285714
233.916666667	-40.1714285714
234	-40.1714285714
234.083333333	-40.1714285714
234.166666667	-40.1714285714
234.25	-40.1714285714
234.333333333	-40.1714285714
234.416666667	-40.1714285714
234.5	-40.1714285714
234.583333333	-40.1714285714
234.666666667	-40.1714285714
234.75	-40.1714285714
234.833333333	-40.1714285714
234.916666667	-40.1714285714
235	-40.1714285714
235.083333333	-40.1714285714
235.166666667	-40.1714285714
235.25	-40.1714285714
235.333333333	-40.1714285714
235.416666667	-40.1714285714
235.5	-40.1714285714
235.583333333	-40.1714285714
235.666666667	-40.1714285714
235.75	-40.1714285714
235.833333333	-40.1714285714
235.916666667	-40.1714285714
236	-40.1714285714
236.083333333	-40.1714285714
236.166666667	-40.1714285714
236.25	-40.1714285714
236.333333333	-40.1714285714
236.416666667	-40.1714285714
236.5	-40.1714285714
236.583333333	-40.1714285714
236.666666667	-40.1714285714
236.75	-40.1714285714
236.833333333	-40.1714285714
236.916666667	-40.1714285714
237	-40.1714285714
237.083333333	-40.1714285714
237.166666667	-40.1714285714
237.25	-40.1714285714
237.333333333	-40.1714285714
237.416666667	-40.1714285714
237.5	-40.1714285714
237.583333333	-40.1714285714
237.666666667	-40.1714285714
237.75	-40.1714285714
237.833333333	-40.1714285714
237.916666667	-40.1714285714
238	-40.1714285714
238.083333333	-40.1714285714
238.166666667	-40.1714285714
238.25	-40.1714285714
238.333333333	-40.1714285714
238.416666667	-40.1714285714
238.5	-40.1714285714
238.583333333	-40.1714285714
238.666666667	-40.1714285714
238.75	-40.1714285714
238.833333333	-40.1714285714
238.916666667	-40.1714285714
239	-40.1714285714
239.083333333	-40.1714285714
239.166666667	-40.1714285714
239.25	-40.1714285714
239.333333333	-40.1714285714
239.416666667	-40.1714285714
239.5	-40.1714285714
239.583333333	-40.1714285714
239.666666667	-40.1714285714
239.75	-40.1714285714
239.833333333	-40.1714285714
239.916666667	-40.1714285714
240	-40.1714285714
240.083333333	-40.1714285714
240.166666667	-40.1714285714
240.25	-40.1714285714
240.333333333	-40.1714285714
240.416666667	-40.1714285714
240.5	-40.1714285714
240.583333333	-40.1714285714
240.666666667	-40.1714285714
240.75	-40.1714285714
240.833333333	-40.1714285714
240.916666667	-40.1714285714
241	-40.1714285714
241.083333333	-40.1714285714
241.166666667	-40.1714285714
241.25	-40.1714285714
241.333333333	-40.1714285714
241.416666667	-40.1714285714
241.5	-40.1714285714
241.583333333	-40.1714285714
241.666666667	-40.1714285714
241.75	-40.1714285714
241.833333333	-40.1714285714
241.916666667	-40.1714285714
242	-40.1714285714
242.083333333	-40.1714285714
242.166666667	-40.1714285714
242.25	-40.1714285714
242.333333333	-40.1714285714
242.416666667	-40.1714285714
242.5	-40.1714285714
242.583333333	-40.1714285714
242.666666667	-40.1714285714
242.75	-40.1714285714
242.833333333	-40.1714285714
242.916666667	-40.1714285714
243	-40.1714285714
243.083333333	-40.1714285714
243.166666667	-40.1714285714
243.25	-40.1714285714
243.333333333	-40.1714285714
243.416666667	-40.1714285714
243.5	-40.1714285714
243.583333333	-40.1714285714
243.666666667	-40.1714285714
243.75	-40.1714285714
243.833333333	-40.1714285714
243.916666667	-40.1714285714
244	-40.1714285714
244.083333333	-40.1714285714
244.166666667	-40.1714285714
244.25	-40.1714285714
244.333333333	-40.1714285714
244.416666667	-40.1714285714
244.5	-40.1714285714
244.583333333	-40.1714285714
244.666666667	-40.1714285714
244.75	-40.1714285714
244.833333333	-40.1714285714
244.916666667	-40.1714285714
245	-40.1714285714
245.083333333	-40.1714285714
245.166666667	-40.1714285714
245.25	-40.1714285714
245.333333333	-40.1714285714
245.416666667	-40.1714285714
245.5	-40.1714285714
245.583333333	-40.1714285714
245.666666667	-40.1714285714
245.75	-40.1714285714
245.833333333	-40.1714285714
245.916666667	-40.1714285714
246	-40.1714285714
246.083333333	-40.1714285714
246.166666667	-40.1714285714
246.25	-40.1714285714
246.333333333	-40.1714285714
246.416666667	-40.1714285714
246.5	-40.1714285714
246.583333333	-40.1714285714
246.666666667	-40.1714285714
246.75	-40.1714285714
246.833333333	-40.1714285714
246.916666667	-40.1714285714
247	-40.1714285714
247.083333333	-40.1714285714
247.166666667	-40.1714285714
247.25	-40.1714285714
247.333333333	-40.1714285714
247.416666667	-40.1714285714
247.5	-40.1714285714
247.583333333	-40.1714285714
247.666666667	-40.1714285714
247.75	-40.1714285714
247.833333333	-40.1714285714
247.916666667	-40.1714285714
248	-40.1714285714
248.083333333	-40.1714285714
248.166666667	-40.1714285714
248.25	-40.1714285714
248.333333333	-40.1714285714
248.416666667	-40.1714285714
248.5	-40.1714285714
248.583333333	-40.1714285714
