bin	input	output	ellipse_input	ellipse_output	residual
132	-0.054459001814841305	-0.3818907984432258	-0.05486357312424216	-0.3583039001481713	-0.023586898295054504
133	-0.0666387378358804	-0.4042392359096108	-0.06696337398829345	-0.3759174735834709	-0.02832176232613992
134	-0.07849132016588654	-0.42440046850803564	-0.07902283861977605	-0.3933049654171137	-0.03109550309092196
135	-0.09062141079310193	-0.44590398670203124	-0.09103470284812831	-0.4104559020741792	-0.03544808462785204
136	-0.10230950116105884	-0.46502868431354105	-0.1029917311754919	-0.4273599524717404	-0.03766873184180064
137	-0.11416861489885825	-0.48466315651357567	-0.11488672113510402	-0.44400693424192034	-0.04065622227165533
138	-0.12613768492806077	-0.504561881993947	-0.12671250762979555	-0.46038681986537167	-0.04417506212857536
139	-0.1375517757863955	-0.5219126049107271	-0.13846196724797674	-0.47648974271147837	-0.04542286219924874
140	-0.1495269701087878	-0.54103753841254	-0.15012802255451418	-0.4923060029816447	-0.04873153543089531
141	-0.16066425945117174	-0.5569514080782259	-0.16170364635391316	-0.5078260735520923	-0.049125334526133546
142	-0.17249678091444168	-0.5748598112157473	-0.17318186592323748	-0.5230406057126424	-0.051819205503104815
143	-0.1833724438806082	-0.5894134011475909	-0.18455576721221653	-0.537940434798029	-0.05147296634956189
144	-0.19502621521684427	-0.6060390426793701	-0.19581849900801157	-0.552516585708352	-0.053522456971018095
145	-0.20564576670246495	-0.619252012014488	-0.20696327706212944	-0.56676027831534	-0.05249173369914795
146	-0.21710415746028008	-0.6345537064469169	-0.21798338817700053	-0.580662932751173	-0.05389077369574391
147	-0.22741251957775943	-0.6463547065905326	-0.22887219424975785	-0.5942161745766725	-0.052138532013860095
148	-0.23804525736056886	-0.6587756547990952	-0.2396231362707815	-0.6074118398257509	-0.0513638149733443
149	-0.24926040078174674	-0.6723104243919891	-0.25022973827460177	-0.62024197992308	-0.052068444468909125
150	-0.2589920003684571	-0.6818066104700277	-0.26068561124077805	-0.6326988664720149	-0.049107743998012765
151	-0.26991040101647906	-0.6939750331340342	-0.2709844569424057	-0.6447749959098916	-0.04920003722414257
152	-0.2792849964847132	-0.7021308932303714	-0.28112007173993275	-0.6564630940278925	-0.045667799202478876
153	-0.29102023418085404	-0.7157316079253193	-0.29108635031800045	-0.6677561203527574	-0.04797548757256187
154	-0.3017754623127784	-0.7267845039933285	-0.300877289363056	-0.6786472723877012	-0.04813723160562733
155	-0.31158706812766357	-0.735039459043378	-0.3104869911795258	-0.6891299897099848	-0.04590946933339313
